,Наименование работ,Дни мес.,01.11.2015,02.11.2015,03.11.2015,04.11.2015,05.11.2015,06.11.2015,07.11.2015,08.11.2015,09.11.2015,10.11.2015,11.11.2015,12.11.2015,13.11.2015,14.11.2015,15.11.2015,16.11.2015,17.11.2015,18.11.2015,19.11.2015,20.11.2015,21.11.2015,22.11.2015,23.11.2015,24.11.2015,25.11.2015,26.11.2015,27.11.2015,28.11.2015,29.11.2015,30.11.2015
2,Подготовительные работы_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,Валка леса_act,план,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06
,Валка леса_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,Захоронение лесопорубочных остатков_act,план,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.43
,Захоронение лесопорубочных остатков_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,Грубая планировка площадей бульдозерами_act,план,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.04
,Грубая планировка площадей бульдозерами_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29
2.4,Засыпка траншей и котлованов с перемещением грунта_act,план,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.43
,Засыпка траншей и котлованов с перемещением грунта_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,Разработка траншеи экскаватором захоронка_act,план,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.43
,Разработка траншеи экскаватором захоронка_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Строительно-монтажные работы линейной части_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Подготовительные работы на трубосварочной базе_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.1,   Завоз трубы на трубосварочную базу_act,план,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229
,   Завоз трубы на трубосварочную базу_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1.2, Сварка трубы в двухтрубные секции_act,план,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.43
, Сварка трубы в двухтрубные секции_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1.3,НК сварных соединений _act,план,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.43
,НК сварных соединений _act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2,Линейная часть трубопровода                                                                                                                                                                                                                 _act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.1,Завоз двухтрубных секций на автомобилях-плетевозах_act,план,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.159
,Завоз двухтрубных секций на автомобилях-плетевозах_act,факт,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0.26,0.13,0,0,0.1,0.2,0.1,0.2,0.2,0,0,0,0.2,0.4,0.2
3.2.2,"Ручная электродуговая сварка на трассе двухтрубных секций Ду 377 мм электродами с основным покрытием, толщина стенки:9 мм_act",план,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.86
,"Ручная электродуговая сварка на трассе двухтрубных секций Ду 377 мм электродами с основным покрытием, толщина стенки:9 мм_act",факт,0,4,4,3,4,3,7,7,1,0,4,0,0,1,2,2,5,5,6,3,0,0,6,2,6,11,8,8,7,10
3.2.3,Разработка  траншей одноковшовыми экскаваторами_act,план,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Разработка  траншей одноковшовыми экскаваторами_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.22,0.495,0.3,0.3,0.25,0.28,0.37
3.2.4,Контроль радиографированием на трассе качества сварных соединений труб: Ду 350 мм_act,план,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.86
,Контроль радиографированием на трассе качества сварных соединений труб: Ду 350 мм_act,факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,21,0,0
3.2.5,"Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М "" Д 377 мм _act",план,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.43
,"Изоляция стыков с применением изоляционного комплекта "" ТИАЛ-М "" Д 377 мм _act",факт,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2.6,Укладка в траншею изолированных трубопроводов: Д 377 мм _act,план,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Укладка в траншею изолированных трубопроводов: Д 377 мм _act,факт,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
3.2.7,"Обратная засыпка грунта одноковшовым экскаватором , группа грунтов 2 _act",план,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,"Обратная засыпка грунта одноковшовым экскаватором , группа грунтов 2 _act",факт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.3,0.06,0,0,0,0,0,0,0,0
4,Узлы запорной арматуры_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,Узел запорной арматуры №5  ПК 316+25_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5.1,Инженерная подготовка_act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
